Enemies
ImpPistol,1900,110
ImpPistol,2000,110
ImpPistol,2100,110
ImpPistol,2300,110
EliteRifle,2400,110
ImpNeedle,2850,140
ImpPistol,2950,140
Jackal,3550,110
ImpPistol,3650,110
ImpPistol,4325,440
ImpPistol,4400,440
ImpNeedle,4750,440
ImpPistol,4850,440
EliteRifle,5100,440
ImpPistol,5200,440
Jackal,5800,440
Jackal,5900,440
ImpPistol,6250,400
ImpNeedle,6375,400
EliteRifle,7150,440
ImpPistol,7250,440
Jackal,7850,110
EliteRifle,7950,110
ImpPistol,8150,110
ImpPistol,8250,110
ImpPistol,8850,140
ImpNeedle,8950,140
ImpPistol,8150,140
Hunter,9700,110
EliteRifle,10250,110
